gesture,state,confidence,rms,std,zc,wl,gsr,timestamp
Fist,Relaxed,0.6350709936365542,0.2520981342183547,0.2520679352956056,57.0,37.960560574603136,0.1381758456056,1761109506.203713
Fist,Relaxed,0.844048409263952,0.2496965564820086,0.24967803481250458,54.0,36.87887916943232,0.1506447404839662,1761109506.203821
Fist,Relaxed,0.8790885266238739,0.24182209817197567,0.24179751838860686,58.0,40.33378740045151,0.14921826869723825,1761109506.203895
Fist,Relaxed,0.8262168742552805,0.2444366294413452,0.24437128508280345,54.0,36.45543339657534,0.16155572949494984,1761109506.2039711
Fist,Relaxed,0.8186783916334813,0.24474086328810832,0.2446614486874639,46.0,34.4402743865207,0.17942432945997258,1761109506.204034
Fist,Relaxed,0.8990322526578873,0.2509976855995114,0.2509462557934358,52.0,37.73089619905243,0.14007499971947437,1761109506.204093
Fist,Relaxed,0.7664287331759986,0.25166669707419204,0.2516469262063179,56.0,39.39246605662156,0.1321320905671179,1761109506.204149
Fist,Relaxed,0.6076030591718304,0.24179614398812713,0.2417884009585251,60.0,36.51707304625298,0.14342550205228333,1761109506.204204
Fist,Relaxed,0.603810432727358,0.2352611968528171,0.2352597300163393,48.0,34.726915665149264,0.1477489043223174,1761109506.204258
Fist,Relaxed,0.6950259415236895,0.2515344996922742,0.25147790073742593,54.0,38.42873499596563,0.15247043527078707,1761109506.204312
Fist,Relaxed,0.8280288261376297,0.251698097755841,0.25167292370606203,53.0,36.30369246584553,0.12218814820984503,1761109506.204366
Fist,Relaxed,0.6595580833738103,0.24726878058418428,0.24725725197649173,54.0,37.05216428153645,0.1583302841129019,1761109506.204434
Fist,Relaxed,0.8560783506207732,0.24439710254739652,0.24439710230575054,58.0,37.33384984284317,0.1413093878194331,1761109506.2045639
Fist,Relaxed,0.6790450940772097,0.25118183271370254,0.2510093799171124,54.0,35.344593107135964,0.15209379044823218,1761109506.204664
Fist,Relaxed,0.6589926177905866,0.25406878970900687,0.2539631897738447,46.0,34.879372469957765,0.15603287973210578,1761109506.204729
Fist,Relaxed,0.8295286935899486,0.23942065197576776,0.23941796713503538,37.0,32.12728697779737,0.15842920168238966,1761109506.204788
Fist,Relaxed,0.7136794115307576,0.25165621253835846,0.251600456991352,48.0,36.236289579083234,0.1559958298364339,1761109506.204843
Fist,Relaxed,0.7215224502705824,0.24511820399594694,0.2450928987711029,57.0,37.507122227454396,0.17810294913817776,1761109506.2049
Fist,Relaxed,0.7107803605249892,0.24071793003409933,0.2406699382305282,56.0,35.423228334560605,0.12518222387070263,1761109506.2049532
Fist,Relaxed,0.6644314211712141,0.24806780083849195,0.247927338458701,58.0,36.94245721038227,0.10312394102729336,1761109506.2050052
Fist,Relaxed,0.6327211633910071,0.24422631686484247,0.24416236630769672,58.0,37.72911995901102,0.16599097747258718,1761109506.205055
Fist,Relaxed,0.8838220075558456,0.2524022305357569,0.251959084305102,54.0,38.03819149735279,0.17083765540986895,1761109506.2051048
Fist,Relaxed,0.797295410231115,0.25358580906330136,0.2535691158575857,52.0,37.59359472980529,0.17759417706897912,1761109506.2051551
Fist,Relaxed,0.7737395983548364,0.25386147941293463,0.2538408182434034,56.0,37.311262031139506,0.15383613602864926,1761109506.205206
Fist,Relaxed,0.6192144478579474,0.25072544737857055,0.25072298441457175,49.0,35.98325092041985,0.14755337546755667,1761109506.205256
Fist,Relaxed,0.8351955389011589,0.24837286375520554,0.2483724780758793,64.0,39.422731285358964,0.11772544936328058,1761109506.205306
Fist,Relaxed,0.6385132392145791,0.2431661999531307,0.24311519814918842,58.0,37.58296562055122,0.14754790309652108,1761109506.2053602
Fist,Relaxed,0.8341109066854455,0.24596468880263592,0.24589214015055527,51.0,36.79310347534728,0.16141895566629444,1761109506.20541
Fist,Relaxed,0.8779630883172618,0.26224895768426815,0.2621431583978058,47.0,36.1637826753859,0.16074240625715447,1761109506.20546
Fist,Relaxed,0.6470844226202965,0.24394728008641625,0.24392691016115278,52.0,37.08306136783063,0.13807956389625575,1761109506.20551
Fist,Relaxed,0.8766177826771399,0.2499523218254818,0.2499503416290587,56.0,37.420535277108,0.12875228380207515,1761109506.2055612
Fist,Relaxed,0.728161004717234,0.25122407684039955,0.2512215071406673,58.0,39.80077114220384,0.13345198091549543,1761109506.20561
Fist,Relaxed,0.8396404696740019,0.24118017670271558,0.2411738091475658,44.0,36.864245843872034,0.16988924719124562,1761109506.205659
